"restaurant_name","cnt","rating"
"# Momo",1,4.2
"#99",1,4.1
"#BBQ",1,3.6
"#Dilliwaala6",1,3.7
"#FlyFree",1,4.0
"#Foodiz",1,3.5
"#Hashtag Momos",1,4.3
"#PB Patiala Bites",1,4.0
"'@ Pizza",1,4.0
"'@ Spirants Chai",1,4.2
"'@69 Food Zone",1,3.7
"0265 Burgers & Pizzas",1,4.5
"0612 Road Chef Online",1,4.2
"07 Bakery",1,2.7
"1 Bake Shop",2,4.0
"1 Bake Shop",2,4.1
"10 Downing Street",1,4.3
"10 Dur's",1,4.1
"10 Hour's Family Restaurant",1,3.8
"10 Muffins",1,4.4
"10 Park Street Cafe & Kitchen",1,4.2
"10 To 10 Restaurants & Party Hall",1,3.0
"100 Foodies",1,3.8
"1000 BC",1,3.6
"100N",1,4.1
"11 July Fine Dine Restaurant",1,3.8
"11 Spices Multi Cusine Restaurant",1,3.5
"11 Star Cakes",1,3.7
"11-11 Flash Back",1,4.2
"11-11 The Food Station",1,4.1
"11th Avenue Cafe Bistro",2,3.7
"11th Avenue Cafe Bistro",2,4.0
"11To11",1,4.4
"1211 Pizza Point",1,4.0
"12-3 AM Biryani",1,3.1
"13 Shawarma",1,4.0
"143 Cake House",1,3.8
"1441 Pizzeria",3,3.8
"1441 Pizzeria",3,3.8
"1441 Pizzeria",3,4.0
"14Greens",1,3.9
"15 A.D.",1,4.5
"17 Degree City Centre",1,4.3
"17 Degrees",1,4.1
"17 Degrees Hotel",1,4.1
"17 Sector",1,4.3
"18 Degree Icecream Zone",1,4.3
"1857 City Cafe",1,4.1
"19 Mini Pancakes",1,4.1
"1944 -The HOCCO Kitchen",2,4.2
"1944 -The HOCCO Kitchen",2,4.3
"1947",1,4.4
"1947 Food Nation",1,3.6
"1947 Restaurant",1,3.3
"1952 A Food Story",1,4.1
"1968 Veg Restaurant - Hotel Manorama",1,3.8
"1989 Milkshakes",1,4.2
"1989 Pizza & Thick Shake's",1,4.0
"1C Dining",1,3.8
"2 Bros Pizza & Resto",1,3.4
"2 Bross Pizza Cafe",1,3.5
"2 K",1,4.0
"2 Kaudi Ki Chai",1,4.0
"2 Slices",1,4.0
"2 Square",1,4.3
"2 States",1,3.5
"21 Baker Street",1,3.2
"21st Century Bakery",1,3.9
"21st Fast Food",1,3.9
"22 Constanzaa",1,4.4
"22 Food Point",1,3.5
"221B Shakes",1,4.0
"22B The Resort",1,3.9
"22G Nutri Kulche Wale",1,4.1
"22nd Parallel",1,4.0
"23 Fusion Momos",1,4.2
"24 Carats Mithai Magic",1,4.4
"24 Hours Bakery Shop",1,3.7
"24 Royal Chinese Cafe",1,3.6
"24/2 Maggi Villa",1,4.0
"24/7 Food Ex",1,3.9
"24Seven",2,4.0
"24Seven",2,4.0
"25 Rice Bowls",1,4.3
"28 Street Jam Cafe",1,3.6
"29 States",1,3.4
"2ND Wife",1,4.2
"2o2 Di Restro Cafe",1,3.9
"3 Coins",1,4.4
"3 Hill Cart Road- Jhale Jhole Ambole",1,4.2
"3 K Resorts",1,3.8
"3 Mom's Kitchen",1,4.3
"3 Monkey's Cafe",1,4.1
"3 Not 3 Ice Cream Cafe",1,4.2
"3 Peg Bar & Restaurant",1,4.0
"3 Star Bakery",1,4.5
"3 Star Sweets Bakery Restaurant",1,4.3
"3 Story",1,4.0
"3 Way Adda",1,3.5
"3 Way Point",1,3.9
"3 Way Restaurant & Cafe",1,3.4
"30 Cordon Bleu",1,4.3
"'-301°F! & Urban Waffle",1,4.0
"31 Burgers",1,3.4
"33 Eat Street",1,2.9
"33 Park Street By Junction",1,4.1
"34 Chowringhee Lane",7,3.7
"34 Chowringhee Lane",7,3.7
"34 Chowringhee Lane",7,3.7
"34 Chowringhee Lane",7,3.8
"34 Chowringhee Lane",7,3.8
"34 Chowringhee Lane",7,3.9
"34 Chowringhee Lane",7,4.2
"34 Stairs",1,4.2
"34th August",1,3.5
"36 China Town",2,3.3
"36 China Town",2,3.7
"37 Street Affair",1,4.1
"37 The Central",1,4.3
"38 Street",1,4.1
"3B Tea",1,3.5
"3C's Cafe",1,4.0
"3C's Shake Time",1,4.0
"3D FoodZ",1,4.0
"3Monkeys",1,4.0
"3rd Milestone Restaurant",1,4.0
"3Seventy Bistro",1,4.2
"3Seventy Kitchen",1,4.2
"3T Foodrinks",1,4.0
"4 Chef - AIIMS",1,4.3
"4 Chef Cafe & Snack Bar",1,3.5
"4 Chili's Kitchen",1,4.1
"4 Mealer",1,4.1
"4 Seasons",1,4.1
"4 seasons - The Cafe Restro",1,4.0
"4 Seasons Bakery & Restaurant",1,4.3
"4 Ways Cafe & Pizza",1,4.0
"40 Indian Thalis(PAU)",1,3.8
"47 South Tangra Road",1,4.2
"48 Deg.C",1,4.3
"4M Biryani House",2,3.1
"4M Biryani House",2,4.2
"4M Kitchen",1,3.7
"4th Street Dining Hall",1,4.3
"5 Flavours Restaurant & Cafe",1,3.5
"5 Heads Resto Cafe",1,3.2
"5 Shots Bistro Cafe",1,3.1
"5 Shots The Juice Bar",1,4.1
"5 Spice",1,3.8
"5 Star Canteen",1,4.0
"5 Star Diamond Classic Pizza",1,4.1
"5 Star Momos",1,3.7
"5 Star Pizza",1,3.6
"50 Ml Bar",1,4.0
"50 Shades Of Food",1,3.6
"50+ Burger",1,3.4
"53 Cafe House",1,4.0
"55 Bistro",1,4.0
"56 Rajwade Cafe & Restaurant",1,3.7
"6 Ballygunge Place",1,4.3
"6 Ballygunge Place Take Away",1,4.4
"6 Ballygunge Place Takeaway",1,4.2
"6 Ballygunge Place Thali",1,4.2
"6 One Restaurant",1,4.0
"60 ML",1,3.8
"65 Corner Fast Food",1,4.1
"666 Cafe",1,3.3
"7 Art's Of Swad",1,4.0
"7 Bakes",1,4.3
"7 Cheese Pizza",1,4.1
"7 Coffee Beans",1,4.3
"7 Colour's Kabab Hut",1,4.0
"7 Days",1,3.5
"7 Days Pure Veg Restaurant",1,3.7
"7 Degree Lounge",1,3.9
"7 Eleven Fried Chicken",1,4.0
"7 Heaven Restro",1,4.0
"7 Sisters",1,4.1
"7 Spice",1,4.1
"7 Spicery",1,4.0
"7 Spices",1,4.1
"7 Spices Restaurant",1,4.1
"7 Star Dhaba",1,4.1
"7/12 Fried Ice Cream",1,3.0
"7/12 Fried Ice Cream Parlour",1,3.0
"70 Percent Diet",1,4.4
"70 Percent Restro Cafe",1,4.3
"78 Degrees Cafe & Restro",1,3.6
"78 Singh",1,3.9
"786 Biryani",1,4.1
"786 Chicken & Biryani Center Chacha Ki Dukan",1,3.8
"7th Cloud Restaurant",1,4.2
"7th Heaven",24,3.3
"7th Heaven",24,3.3
"7th Heaven",24,3.4
"7th Heaven",24,3.4
"7th Heaven",24,3.6
"7th Heaven",24,3.7
"7th Heaven",24,3.7
"7th Heaven",24,3.8
"7th Heaven",24,3.8
"7th Heaven",24,3.9
"7th Heaven",24,3.9
"7th Heaven",24,3.9
"7th Heaven",24,4.0
"7th Heaven",24,4.0
"7th Heaven",24,4.0
"7th Heaven",24,4.1
"7th Heaven",24,4.1
"7th Heaven",24,4.2
"7th Heaven",24,4.2
"7th Heaven",24,4.2
"7th Heaven",24,4.2
"7th Heaven",24,4.3
"7th Heaven",24,4.3
"7th Heaven",24,4.3
"7th Heaven - A Slice of Happiness",3,4.0
"7th Heaven - A Slice of Happiness",3,4.3
"7th Heaven - A Slice of Happiness",3,4.4
"7th Heaven Bakery",1,4.3
"7th Heaven Cafe",1,3.9
"7th Heaven Cafe & Lounge",1,3.4
"7th Heaven Cake Shop",3,4.2
"7th Heaven Cake Shop",3,4.2
"7th Heaven Cake Shop",3,4.3
"7th Heaven Restaurant",1,3.0
"7th Heaven Slice Of Happiness",1,4.3
"7th Heaven-Derebail",1,4.0
"7th Sky",1,3.7
"7ven 11ven Restaurant",1,4.3
"8 Momoz",1,4.1
"8 The Pizza Stone",1,4.3
"80N Restaurant",1,3.6
"812 CE - Courtyard By Marriott",1,3.9
"87 Cafe & Resto",1,3.4
"89 Mint Leaf",1,4.2
"8th Day Cafe & Bakery",2,4.4
"8th Day Cafe & Bakery",2,4.4
"9 Coins Cafe",1,4.0
"9 PM Cafe",1,3.4
"9 Shine",1,4.3
"9 Street Pizza",1,3.8
"9 Tea's Cafe",1,3.5
"9 To 9 Biryani & Street Food",1,4.2
"90's Cafe",1,4.2
"90's Memories",1,3.8
"90's Restaurant",1,4.0
"90's Restro",1,3.8
"91 Kitchen",1,3.9
"9834 The Fruit Truck",2,4.1
"9834 The Fruit Truck",2,4.5
"9834 The Fruit Window",1,4.2
"99 Biryani.Com",1,3.6
"99 Cakes",1,4.3
"99 Cakes & Bakers",1,4.0
"99 Chickens",1,4.3
"99 Crispy Bazar",1,4.0
"99 Dosa D'lite & Chaat Point",1,3.5
"99 Foodie Adda",1,4.0
"99 Only",1,3.8
"99 Pancakes",10,4.0
"99 Pancakes",10,4.2
"99 Pancakes",10,4.2
"99 Pancakes",10,4.2
"99 Pancakes",10,4.2
"99 Pancakes",10,4.3
"99 Pancakes",10,4.3
"99 Pancakes",10,4.3
"99 Pancakes",10,4.5
"99 Pancakes",10,4.5
"99 Pizza",2,3.7
"99 Pizza",2,3.9
"99 Pizza And More",1,3.8
"99 Rotiwala",3,3.6
"99 Rotiwala",3,3.6
"99 Rotiwala",3,4.0
"99 Rotiwala LIG",1,3.9
"99 Sabjiwala",1,3.4
"99 Sweet Jars",1,4.1
"99 Tasty Food Hub",1,3.3
"99 Thali",1,3.1
"99 Trisha Foods",1,3.8
"99 Varieties Dosa & Pav Bhaji",1,3.7
"99 Waffles",1,3.5
"99 Wala By Qimbu",1,4.3
"9th Street",1,4.1
"9th Street Hideaway Restro And Cafe",1,4.2
"A - One Momo!",1,4.4
"A & C Burger Shoppee",1,4.1
"A 1 bharit center",1,4.1
"A 2 Pizza",1,3.8
"A Balaji Santosh Dhaba",1,4.1
"A Cafe",1,3.1
"A Ccream Corner",1,4.0
"A Dessert King",1,3.7
"A Gourmesserie",1,4.4
"A Kit Kat Bakery",1,4.1
"A Lua Restaurant & Bar",1,4.0
"A Marron Burger",1,3.5
"A Metro Cuisine",1,3.8
"A One Bakery",3,2.6
"A One Bakery",3,3.6
"A One Bakery",3,4.2
"A One Bombay Biryani",1,4.1
"A One Coco",2,3.7
"A One Coco",2,4.6
"A One Cold Coco & Juice Center",1,4.0
"A One Cold Coco And Juice Corner",1,4.0
"A One Fast Food",1,3.0
"A One Fry Center",1,3.5
"A One Hotel & Fast Food",1,3.4
"A One Hotel & Restaurant",1,3.7
"A One Muradabadi Chicken Biryani Corner",1,3.8
"A One Parsi Food",1,4.0
"A Piece Of Cake",1,3.8
"A Pinch Of Salt",1,3.6
"A Pizzariya",1,3.2
"A S Food Corner",1,3.1
"A Silverr Oak",1,4.0
"A Star Kitchen",1,4.3
"A Taste Of Home",1,4.5
"A TO Z Burger Biryani And Paratha",1,3.5
"A To Z Fast Food",1,3.6
"A To Z Food Corner",1,3.5
"A To Z Palamudir Nilayam",1,4.1
"A TO Z Pizza",1,3.8
"A To Z Restaurant",1,3.3
"A To Z Rolls",1,3.3
"A Vinis Bakery",1,3.6
"A. J. Cool Bar",1,3.6
"A.M Biriyani",1,4.1
"A.P.S Chat",1,3.8
"A.R Modern Rythu Chicken Bazar",1,4.1
"A.R. Biryani Point",1,4.4
"A.R.C Sasi's Chat & More",1,3.6
"A.S.I.N Kitchen",1,4.3
"A1 Ambur Briyani & Kababs",1,3.8
"A-1 Amlet",1,4.3
"A1 Biryani",1,3.7
"A1 Bombay Vada Pav",1,3.6
"A1 Chicken Pakoda Point",1,4.3
"A1 Chilli 65 Fast Food Center",1,4.2
"A1 Chips",1,4.2
"A1 Desserts",1,3.5
"A1 Family Restaurant",1,4.0
"A1 Fast Food",1,3.7
"A-1 Foods",1,4.0
"A1 Foods Cake Factory",1,4.3
"A1 Haji Biryani",1,3.8
"A1 Haji Fast Food Centre",1,3.9
"A1 Hotels",1,3.8
"A1 Misal House",1,3.9
"A1 Momos",1,3.9
"A1 Momo's",1,4.0
"A1 Pakoda House",1,4.1
"A1 Parotha",1,4.4
"A1 Parotta Stall",1,4.0
"A1 Pulkha Point And Chinese",1,2.9
"A1 Quality Falooda",1,3.6
"A1 Samosa",1,4.4
"A-1 Super Dabeli And Panipuri Centre",1,4.1
"A2 Fast Food",1,3.9
"A2B - Adyar Ananda Bhavan",8,4.0
"A2B - Adyar Ananda Bhavan",8,4.1
"A2B - Adyar Ananda Bhavan",8,4.2
"A2B - Adyar Ananda Bhavan",8,4.2
"A2B - Adyar Ananda Bhavan",8,4.2
"A2B - Adyar Ananda Bhavan",8,4.3
"A2B - Adyar Ananda Bhavan",8,4.3
"A2B - Adyar Ananda Bhavan",8,4.3
"A2B Aniram's Aahar Bhavan",1,4.0
"A3 Eggless Fresh Cakes",1,4.3
"A9 Baker's & Cafe",1,4.0
"A9 Kitchen's",1,3.5
"Aab O Dana Red Chillies",1,3.9
"Aachi Chettinadu Hotel",1,3.9
"Aachman",1,4.2
"Aacho Bhau",1,3.1
