"restaurant_name","cnt","avg_rating","avg_price","avg_delivery_time"
"Rambhai Special Butter Patties",1,4.900000095367432,100.0,29.0
"Rasoi Ghar Se",1,4.900000095367432,100.0,32.0
"Hangyo Ice Cream",1,4.900000095367432,100.0,8.0
"Herbi Vore",1,4.800000190734863,200.0,36.0
"Oasis Vegan Treats",1,4.800000190734863,250.0,43.0
"Peni Ice Cream",1,4.800000190734863,300.0,14.0
"ROYCE' Chocolate",1,4.699999809265137,400.0,60.0
"Shawarma Bite's",1,4.699999809265137,50.0,29.0
"Shree Kulfi",1,4.699999809265137,200.0,21.0
"Shree Sai Krupa Fast Food",1,4.699999809265137,200.0,45.0
"Arun Icecreams",1,4.699999809265137,50.0,18.0
"Banarasi Paan Bhandar",1,4.699999809265137,150.0,25.0
"Khalilya Hotel",1,4.699999809265137,300.0,18.0
"Kumbayah Kombucha",1,4.699999809265137,150.0,32.0
"Confetti - Hotel Marrion",1,4.699999809265137,100.0,13.0
"Cucina Fresca",1,4.699999809265137,250.0,35.0
"Fabelle Chocolates - ITC Grand Central",1,4.699999809265137,200.0,25.0
"Govardhan Pan Palace",1,4.699999809265137,100.0,28.0
"Hestia Bakehouse",1,4.699999809265137,200.0,36.0
"Hotel Namastay - Welcome Home",1,4.699999809265137,200.0,33.0
"Hotel Sridevi",1,4.699999809265137,100.0,30.0
"Buttercup Bakehouse",1,4.699999809265137,150.0,34.0
"Cafe Mukbang",1,4.699999809265137,250.0,33.0
"Lazza Icecreams Classic",1,4.699999809265137,150.0,20.0
"Mehrotra Varanasi Tambulagar",1,4.699999809265137,250.0,15.0
"Milan Soda",1,4.699999809265137,100.0,20.0
"Mukesh Pan And Cold Point",1,4.699999809265137,100.0,22.0
"Nanis Homemade Chocolates",1,4.699999809265137,200.0,41.0
"Narayan Kulfi",1,4.699999809265137,200.0,14.0
"Le 15 Patisserie",1,4.599999904632568,100.0,22.0
"Les Amis",1,4.599999904632568,100.0,44.0
"Lotus Ice Cream",1,4.599999904632568,100.0,30.0
"Maa Sarala Special Chat",1,4.599999904632568,100.0,17.0
"Maansingh Paan Wala",1,4.599999904632568,40.0,29.0
"Maheshwari Baker's",1,4.599999904632568,200.0,41.0
"Manohar Cholafali Centrer",1,4.599999904632568,100.0,32.0
"Manohari Sweets And Chat",1,4.599999904632568,150.0,25.0
"Masala Dice",1,4.599999904632568,150.0,44.0
"Mast Ram Pakore Wale",1,4.599999904632568,100.0,24.0
"Maven Kitchen",1,4.599999904632568,100.0,38.0
"Meal Prep India - Juicy Chicken, Healthy You",1,4.599999904632568,200.0,53.0
"Misti Mukh",1,4.599999904632568,200.0,24.0
"Hrishi's Little Hut",1,4.599999904632568,150.0,32.0
"Ishvit Snacks",1,4.599999904632568,150.0,51.0
"Italian Wood Fired Pizza And Grill",1,4.599999904632568,200.0,28.0
"Iyer Tiffen Centre",1,4.599999904632568,150.0,39.0
"Jai Durga Bhel Centre",1,4.599999904632568,100.0,29.0
"Jai Sitha Sweets",1,4.599999904632568,200.0,32.0
"K K Live Puff",1,4.599999904632568,50.0,24.0
"Kakada Ramprasad",1,4.599999904632568,300.0,48.0
"Kasthuri Bakery & Sweets",1,4.599999904632568,150.0,29.0
"Kayani Bakery",1,4.599999904632568,300.0,38.0
"Khairnar Jilebiwale",1,4.599999904632568,350.0,30.0
