"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"# Momo",4.2,200,34,0,0,0,0,0,0,"Durgapur",1
"#99",4.1,100,31,0,0,0,0,0,0,"Bareilly",1
"#BBQ",3.6,200,57,0,0,1,0,0,0,"Mangalore",1
"#Dilliwaala6",3.7,100,38,0,1,0,1,0,0,"Puducherry",1
"#FlyFree",4.0,200,26,0,0,1,0,0,0,"Ajmer",1
"#Foodiz",3.5,100,23,0,1,1,0,0,0,"Udaipur",1
"#Hashtag Momos",4.3,300,25,0,0,1,0,0,0,"Jaipur",1
"#PB Patiala Bites",4.0,350,47,0,1,1,0,0,0,"Udaipur",1
"'@ Pizza",4.0,200,71,0,0,0,0,0,0,"Kolkata",1
"'@ Spirants Chai",4.2,150,24,0,0,0,0,0,0,"Gaya",1
"'@69 Food Zone",3.7,200,35,0,1,0,0,0,0,"Kolkata",1
"0265 Burgers & Pizzas",4.5,150,24,0,0,1,0,0,0,"Vadodara",1
"0612 Road Chef Online",4.2,250,35,0,1,0,0,1,0,"Patna",1
"07 Bakery",2.7,150,23,0,0,0,0,0,1,"Kota",1
"1 Bake Shop",4.0,100,38,0,0,1,0,0,1,"Bhubaneswar",2
"1 Bake Shop",4.1,100,24,0,0,1,0,0,1,"Cuttack",2
"10 Downing Street",4.3,150,24,0,1,0,0,0,0,"Vijayawada",1
"10 Dur's",4.1,200,20,0,1,0,0,0,0,"Ludhiana",1
"10 Hour's Family Restaurant",3.8,200,32,0,1,1,0,1,0,"Patna",1
"10 Muffins",4.4,600,37,0,0,0,0,0,0,"Chennai",1
"10 Park Street Cafe & Kitchen",4.2,300,34,0,1,0,0,0,0,"Gorakhpur",1
"10 To 10 Restaurants & Party Hall",3.0,100,26,1,1,0,0,0,0,"Patna",1
"100 Foodies",3.8,100,27,0,0,1,1,0,0,"Kota",1
"1000 BC",3.6,150,51,0,1,0,0,0,0,"Kolkata",1
"100N",4.1,50,55,0,0,1,0,0,0,"Hyderabad",1
"11 July Fine Dine Restaurant",3.8,150,39,0,1,0,0,0,0,"Guwahati",1
"11 Spices Multi Cusine Restaurant",3.5,150,49,0,0,0,0,1,0,"Hyderabad",1
"11 Star Cakes",3.7,100,27,0,0,0,0,0,1,"Meerut",1
"11-11 Flash Back",4.2,150,25,0,0,0,0,0,0,"Salem",1
"11-11 The Food Station",4.1,100,28,0,0,1,0,0,0,"Salem",1
"11th Avenue Cafe Bistro",3.7,400,48,0,0,0,0,0,0,"Guwahati",2
"11th Avenue Cafe Bistro",4.0,150,53,0,0,1,0,0,0,"Guwahati",2
"11To11",4.4,100,25,0,0,1,0,0,0,"Salem",1
"1211 Pizza Point",4.0,150,45,0,0,1,0,0,0,"Lucknow",1
"12-3 AM Biryani",3.1,200,28,0,1,1,1,0,0,"Vijayawada",1
"13 Shawarma",4.0,150,30,0,0,1,0,0,0,"Mumbai",1
"143 Cake House",3.8,100,28,0,0,0,0,0,1,"Jalandhar",1
"1441 Pizzeria",3.8,100,39,0,0,0,0,0,0,"Surat",3
"1441 Pizzeria",3.8,150,36,0,0,1,0,0,0,"Pune",3
"1441 Pizzeria",4.0,100,30,0,0,1,0,0,0,"Mumbai",3
"14Greens",3.9,200,35,0,1,0,0,0,0,"Lucknow",1
"15 A.D.",4.5,150,22,0,0,1,0,0,0,"Jodhpur",1
"17 Degree City Centre",4.3,200,32,0,1,0,1,0,0,"Dhanbad",1
"17 Degrees",4.1,100,39,0,1,0,0,0,0,"Patna",1
"17 Degrees Hotel",4.1,150,41,0,1,0,0,0,0,"Dhanbad",1
"17 Sector",4.3,100,34,0,0,0,0,0,0,"Jalandhar",1
"18 Degree Icecream Zone",4.3,200,23,0,0,0,0,0,0,"Trichy",1
"1857 City Cafe",4.1,100,30,0,1,1,0,0,0,"Meerut",1
"19 Mini Pancakes",4.1,100,37,0,0,0,0,0,0,"Puducherry",1
"1944 -The HOCCO Kitchen",4.2,150,28,0,1,1,0,0,0,"Ajmer",2
"1944 -The HOCCO Kitchen",4.3,100,23,0,1,1,0,0,0,"Ahmedabad",2
"1947",4.4,200,48,0,1,0,1,1,0,"Bangalore",1
"1947 Food Nation",3.6,150,40,1,0,0,0,0,0,"Nellore",1
"1947 Restaurant",3.3,100,17,1,1,0,0,0,0,"Moradabad",1
"1952 A Food Story",4.1,150,28,0,1,0,0,0,0,"Jodhpur",1
"1968 Veg Restaurant - Hotel Manorama",3.8,250,27,1,1,0,0,1,0,"Vijayawada",1
